question_id,stage,question_text,choice_id,choice_text,trait
Q1,혼란의 숲,"나무들이 빽빽하게 들어선 숲으로 도망쳤다. 길은 여러 갈래로 갈라져 있고, 어디가 맞는 길인지 알 수 없다. 주변은 고요하지만… 어딘가 불안하다. 낡은 스마트폰 하나가 떨어져 있다. 화면은 켜져 있지만, 잠금이 걸려 있다.",A,비밀번호를 이것저것 눌러본다,행동형
Q1,혼란의 숲,"나무들이 빽빽하게 들어선 숲으로 도망쳤다. 길은 여러 갈래로 갈라져 있고, 어디가 맞는 길인지 알 수 없다. 주변은 고요하지만… 어딘가 불안하다. 낡은 스마트폰 하나가 떨어져 있다. 화면은 켜져 있지만, 잠금이 걸려 있다.",B,화면의 지문 자국과 주변 흔적을 살펴본다,분석형
Q1,혼란의 숲,"나무들이 빽빽하게 들어선 숲으로 도망쳤다. 길은 여러 갈래로 갈라져 있고, 어디가 맞는 길인지 알 수 없다. 주변은 고요하지만… 어딘가 불안하다. 낡은 스마트폰 하나가 떨어져 있다. 화면은 켜져 있지만, 잠금이 걸려 있다.",C,주인을 찾아 돌려주려고 주변을 둘러본다,공감형
Q1,혼란의 숲,"나무들이 빽빽하게 들어선 숲으로 도망쳤다. 길은 여러 갈래로 갈라져 있고, 어디가 맞는 길인지 알 수 없다. 주변은 고요하지만… 어딘가 불안하다. 낡은 스마트폰 하나가 떨어져 있다. 화면은 켜져 있지만, 잠금이 걸려 있다.",D,스마트폰 속에 숨겨진 단서가 있을 거라 상상하며 새로운 방법을 떠올린다,상상형
Q2,감염된 거리,거리는 너무 조용했다. 신호등은 계속 깜빡이고 있었다. 끼이이익… 어디선가 긁는 소리가 들린다. 그순간 멀리서 무언가 비틀거리며 다가온다. …좀비다.,A,망설이지 않고 바로 뒤돌아 도망친다,행동형
Q2,감염된 거리,거리는 너무 조용했다. 신호등은 계속 깜빡이고 있었다. 끼이이익… 어디선가 긁는 소리가 들린다. 그순간 멀리서 무언가 비틀거리며 다가온다. …좀비다.,B,빠르게 숨어 좀비의 움직임을 관찰하고 안전한 길을 찾는다,분석형
Q2,감염된 거리,거리는 너무 조용했다. 신호등은 계속 깜빡이고 있었다. 끼이이익… 어디선가 긁는 소리가 들린다. 그순간 멀리서 무언가 비틀거리며 다가온다. …좀비다.,C,근처에 숨어 있는 다른 생존자가 있는지 둘러본다,공감형
Q2,감염된 거리,거리는 너무 조용했다. 신호등은 계속 깜빡이고 있었다. 끼이이익… 어디선가 긁는 소리가 들린다. 그순간 멀리서 무언가 비틀거리며 다가온다. …좀비다.,D,좀비의 시선을 다른 곳으로 돌릴 기발한 방법을 생각한다,상상형
Q3,폐허 도서관,"폐허가 된 도서관.
책들은 어지럽게 흩어져 있고, 누군가 급하게 떠난 흔적이 보인다.

백신 단서가 담긴 책을 찾아야 한다…",A,눈에 띄는 책부터 빠르게 펼쳐본다,행동형
Q3,폐허 도서관,"폐허가 된 도서관.
책들은 어지럽게 흩어져 있고, 누군가 급하게 떠난 흔적이 보인다.

백신 단서가 담긴 책을 찾아야 한다…",B,책의 분류표와 목차를 확인하며 단서를 찾는다,분석형
Q3,폐허 도서관,"폐허가 된 도서관.
책들은 어지럽게 흩어져 있고, 누군가 급하게 떠난 흔적이 보인다.

백신 단서가 담긴 책을 찾아야 한다…",C,누군가 남긴 메모나 흔적을 따라 그 사람이 찾던 책을 추적한다,공감형
Q3,폐허 도서관,"폐허가 된 도서관.
책들은 어지럽게 흩어져 있고, 누군가 급하게 떠난 흔적이 보인다.

백신 단서가 담긴 책을 찾아야 한다…",D,책장 뒤나 숨겨진 공간에 단서가 있을 것이라 생각한다,상상형
Q4,백신 연구소,백신 후보가 될 책 세 권이 놓여 있다. 어떤 기준으로 고를까?,A,가장 두껍고 무거워보이는 책을 바로 선택한다,행동형
Q4,백신 연구소,백신 후보가 될 책 세 권이 놓여 있다. 어떤 기준으로 고를까?,B,각 책의 내용과 특징을 비교한 뒤 선택한다,분석형
Q4,백신 연구소,백신 후보가 될 책 세 권이 놓여 있다. 어떤 기준으로 고를까?,C,가장 많은 사람에게 도움이 될 책을 선택한다,공감형
Q4,백신 연구소,백신 후보가 될 책 세 권이 놓여 있다. 어떤 기준으로 고를까?,D,기존 방식과 다른 새로운 독서 백신 조합을 떠올린다,상상형
Q5,탈출의 문,"탈출 직전, 좀비 무리가 몰려온다.
문을 열기까지 시간이 부족하다.

너는 마지막으로 어떤 선택을 할 것인가?",A,고민하지 않고 바로 문을 열고 탈출한다,행동형
Q5,탈출의 문,"탈출 직전, 좀비 무리가 몰려온다.
문을 열기까지 시간이 부족하다.

너는 마지막으로 어떤 선택을 할 것인가?",B,주변 상황을 빠르게 분석하고 가장 안전한 타이밍에 탈출한다,분석형
Q5,탈출의 문,"탈출 직전, 좀비 무리가 몰려온다.
문을 열기까지 시간이 부족하다.

너는 마지막으로 어떤 선택을 할 것인가?",C,이곳을 지나갈 누군가를 위해 탈출 경로를 표시해두고 이동한다,공감형
Q5,탈출의 문,"탈출 직전, 좀비 무리가 몰려온다.
문을 열기까지 시간이 부족하다.

너는 마지막으로 어떤 선택을 할 것인가?",D,다른 탈출 경로를 즉석에서 만들어본다,상상형
